"sub","PID","variable","value","type","source","vol","stoch","cond"
1,501,1,31.2463321203527,0,"data","L","L","LVLS"
1,501,2,28.1216989083174,1,"data","L","L","LVLS"
1,501,3,31.2463321203527,0,"data","L","L","LVLS"
1,501,4,31.2463321203527,1,"data","L","L","LVLS"
1,501,5,28.1216989083174,0,"data","L","L","LVLS"
1,501,6,31.2463321203527,1,"data","L","L","LVLS"
1,501,7,31.2463321203527,0,"data","L","L","LVLS"
1,501,8,28.1216989083174,1,"data","L","L","LVLS"
1,501,9,31.2463321203527,0,"data","L","L","LVLS"
1,501,10,31.2463321203527,1,"data","L","L","LVLS"
1,501,11,31.2463321203527,0,"data","L","L","LVLS"
1,501,12,28.1216989083174,1,"data","L","L","LVLS"
1,501,13,28.1216989083174,0,"data","L","L","LVLS"
1,501,14,31.2463321203527,1,"data","L","L","LVLS"
1,501,15,28.1216989083174,0,"data","L","L","LVLS"
1,501,16,31.2463321203527,1,"data","L","L","LVLS"
1,501,17,31.2463321203527,0,"data","L","L","LVLS"
1,501,18,28.1216989083174,1,"data","L","L","LVLS"
1,501,19,31.2463321203527,0,"data","L","L","LVLS"
1,501,20,28.1216989083174,1,"data","L","L","LVLS"
1,501,21,28.1216989083174,0,"data","L","L","LVLS"
1,501,22,28.1216989083174,1,"data","L","L","LVLS"
1,501,23,31.2463321203527,0,"data","L","L","LVLS"
1,501,24,31.2463321203527,1,"data","L","L","LVLS"
1,501,25,31.2463321203527,0,"data","L","L","LVLS"
1,501,26,21.8724324842469,1,"data","L","L","LVLS"
1,501,27,21.8724324842469,0,"data","L","L","LVLS"
1,501,28,18.7477992722116,1,"data","L","L","LVLS"
1,501,29,21.8724324842469,0,"data","L","L","LVLS"
1,501,30,21.8724324842469,1,"data","L","L","LVLS"
1,501,31,18.7477992722116,0,"data","L","L","LVLS"
1,501,32,21.8724324842469,1,"data","L","L","LVLS"
1,501,33,21.8724324842469,0,"data","L","L","LVLS"
1,501,34,18.7477992722116,1,"data","L","L","LVLS"
1,501,35,21.8724324842469,0,"data","L","L","LVLS"
1,501,36,21.8724324842469,1,"data","L","L","LVLS"
1,501,37,18.7477992722116,0,"data","L","L","LVLS"
1,501,38,18.7477992722116,1,"data","L","L","LVLS"
1,501,39,21.8724324842469,0,"data","L","L","LVLS"
1,501,40,21.8724324842469,1,"data","L","L","LVLS"
1,501,41,18.7477992722116,0,"data","L","L","LVLS"
1,501,42,21.8724324842469,1,"data","L","L","LVLS"
1,501,43,21.8724324842469,0,"data","L","L","LVLS"
1,501,44,18.7477992722116,1,"data","L","L","LVLS"
1,501,45,21.8724324842469,0,"data","L","L","LVLS"
1,501,46,18.7477992722116,1,"data","L","L","LVLS"
1,501,47,18.7477992722116,0,"data","L","L","LVLS"
1,501,48,21.8724324842469,1,"data","L","L","LVLS"
1,501,49,21.8724324842469,0,"data","L","L","LVLS"
1,501,50,18.7477992722116,1,"data","L","L","LVLS"
1,501,51,9.37389963610581,0,"data","L","L","LVLS"
1,501,52,9.37389963610581,1,"data","L","L","LVLS"
1,501,53,12.4985328481411,0,"data","L","L","LVLS"
1,501,54,12.4985328481411,1,"data","L","L","LVLS"
1,501,55,12.4985328481411,0,"data","L","L","LVLS"
1,501,56,12.4985328481411,1,"data","L","L","LVLS"
1,501,57,12.4985328481411,0,"data","L","L","LVLS"
1,501,58,9.37389963610581,1,"data","L","L","LVLS"
1,501,59,9.37389963610581,0,"data","L","L","LVLS"
1,501,60,9.37389963610581,1,"data","L","L","LVLS"
1,501,61,9.37389963610581,0,"data","L","L","LVLS"
1,501,62,12.4985328481411,1,"data","L","L","LVLS"
1,501,63,12.4985328481411,0,"data","L","L","LVLS"
1,501,64,12.4985328481411,1,"data","L","L","LVLS"
1,501,65,9.37389963610581,0,"data","L","L","LVLS"
1,501,66,12.4985328481411,1,"data","L","L","LVLS"
1,501,67,9.37389963610581,0,"data","L","L","LVLS"
1,501,68,9.37389963610581,1,"data","L","L","LVLS"
1,501,69,12.4985328481411,0,"data","L","L","LVLS"
1,501,70,12.4985328481411,1,"data","L","L","LVLS"
1,501,71,12.4985328481411,0,"data","L","L","LVLS"
1,501,72,9.37389963610581,1,"data","L","L","LVLS"
1,501,73,12.4985328481411,0,"data","L","L","LVLS"
1,501,74,9.37389963610581,1,"data","L","L","LVLS"
1,501,75,12.4985328481411,0,"data","L","L","LVLS"
1,501,76,21.8724324842469,1,"data","L","L","LVLS"
1,501,77,21.8724324842469,0,"data","L","L","LVLS"
1,501,78,18.7477992722116,1,"data","L","L","LVLS"
1,501,79,21.8724324842469,0,"data","L","L","LVLS"
1,501,80,21.8724324842469,1,"data","L","L","LVLS"
2,502,1,67.0152444335396,0,"data","L","L","LVLS"
2,502,2,61.0804840817718,1,"data","L","L","LVLS"
2,502,3,67.0152444335396,0,"data","L","L","LVLS"
2,502,4,67.0152444335396,1,"data","L","L","LVLS"
2,502,5,61.0804840817718,0,"data","L","L","LVLS"
2,502,6,61.0804840817718,1,"data","L","L","LVLS"
2,502,7,61.0804840817718,0,"data","L","L","LVLS"
2,502,8,61.0804840817718,1,"data","L","L","LVLS"
2,502,9,67.0152444335396,0,"data","L","L","LVLS"
2,502,10,61.0804840817718,1,"data","L","L","LVLS"
2,502,11,61.0804840817718,0,"data","L","L","LVLS"
2,502,12,61.0804840817718,1,"data","L","L","LVLS"
